class,A,B,C
bt,1.03039671547289,1.01869752798507,1.04172114914891
lu,1.01899742615517,1.01763857853384,1.02277248662692
mg,1.01228978007762,1.00383447835118
sp,1.0575214518946,1.06216312372143,1.06590544959247
ua,1.0258441658334,1.03474340357263,1.03839792910046
cg,0.978369384359401,1.19104998814425,1.00029077491515
ep,0.98681845416417,0.994470446138748,0.996981567692366
ft,1.23389830508475,1.25284234553097
is,0.991304347826086,0.998550724637681,1.00090171325518
Geomean,1.03489841041804,1.06036900842802,1.02356831625232
