Benchmark,A Overhead,A Speedup,B Overhead,B Speedup,C Overhead,C Speedup
bt,3.469992590763149,0.9664637784938537,4.162209279289986,0.9600410810399589,3.9895803773475125,0.9616348064597386
lu,1.3985305295160844,0.9862075858277947,2.6784315143625337,0.9739143705755977,2.1911289058603955,0.9785585213773409
mg,1.3993541442411273,0.9861995753715497,1.6055659620015872,0.9841980510929683,,
sp,6.040862799671065,0.9430326890956813,6.2187624397363805,0.941453258380179,6.347054029297428,0.9403175378271514
ua,3.439517864829944,0.9667485122144077,3.912277183835866,0.9623501929717652,3.850130157939091,0.9629260921283038
cg,0.0,1.0,15.39,0.87,2.71,0.9736440901
ep,-0.3771023456,1.003785298,-0.35,1.0,-0.38,1.003851036
ft,22.78576836,0.8144266338,23.8,0.81,,
is,0.7494646681,0.9925611052,0.05,1.0,0.12,0.9988230679
Geomean,,0.9796163786411614,,0.9573394673034071,,0.9740351913699117
Average,4.3229320679468195,0.9639041556644449,6.385249597691817,0.9459296421363877,2.6896990672063468,0.9742237928953058
